name,image_url,calories,fat,carbs,description,prep_time,cook_time,instructions,protein,id
Gluten-Free Patty Melt,https://images.eatthismuch.com/img/905802_elm333_0b17fff5-113b-417e-bcf6-3abb376cfa9d.jpeg,584,38g,30g,"1 sandwich of gluten-free patty melt  contains 584 Calories. The macronutrient
  breakdown is 21% carbs, 59% fat, and 20% protein.  This is a good source of protein (51% of your Daily Value), potassium (8% of your Daily Value), and calcium (22% of your Daily Value).",5 minutes,10 minutes,"Directions Form beef into patty.Grill the patty about three minutes. Flip the patty to another part of the pan and grill the onion in the fat left by the patty. Continue grilling the patty another three minutes. Place the cheese on the patty when the meat is about done. Move the patty to a cooler part of the pan while you continue to grill the onion slice until softened.While the onion is grilling, coat one side of each bread slice in butter. Grill in a separate pan until toasty. When done, remove the bread from the pan.To assemble: on the bread heel, spread the thousand island dressing. Place the grilled onion. Stack the patty with cheese. Cover with the bread crown. Enjoy,",29,1
Sweet-and-Sour Celery,https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,88,5g,10g,"1 serving of sweet-and-sour celery  contains 88 Calories. The macronutrient
  breakdown is 45% carbs, 52% fat, and 4% protein.  This is a good source of vitamin k (53% of your Daily Value).",10 minutes,45 minutes,"Directions Remove any dark green outer leaves from the celery. Save roughly 1 cup of the inner leaves from the center of of the bunch. Cut celery into 2 inch pieces. Finely chop the parsley. Cut a round of parchment paper to fit just inside a wide heavy 6-to 8-quarts pot, then set round aside.Simmer water, lemon juice, oil, honey, 3/4 teaspoon salt, and 1/2 teaspoon pepper in pot, stirring, until honey has dissolved. Stir in celery (but not leaves) and cover with parchment round. Simmer until tender and liquid is reduced to about 1/4 cup, 35 to 40 minutes.Meanwhile, coarsely chop reserved leaves.Serve celery sprinkled with celery leaves and parsley.What to drink: Yarden Galilee Cabernet Sauvignon '05",1,2
Halibut in Chard Leaves with Lemon-Thyme Butter,https://images.eatthismuch.com/img/45637_HillOK444_1fa54a7d-03d8-4aa5-b674-e5c887e81ab1.png,587,28g,4g,"1 serving of halibut in chard leaves with lemon-thyme butter  contains 587 Calories. The macronutrient
  breakdown is 3% carbs, 44% fat, and 53% protein.  This is a good source of protein (138% of your Daily Value), vitamin d (131% of your Daily Value), and potassium (42% of your Daily Value).",20 minutes,35 minutes,"Directions Set out butter and let soften. Halve chard leaves lengthwise, removing center stem. Finely chop thyme. Cut lemon into 4 thin slices. Preheat oven to 450F. Blend butter, fresh lemon juice, chopped fresh thyme, chopped fresh chives, and grated lemon peel in small bowl; season butter to taste with salt and pepper.Place four 12-inch squares of foil on work surface. Overlap center edge of 2 chard halves on each square. Sprinkle fillets on each side with salt and pepper, then spread with some lemon-thyme butter. Top each with lemon slice. Place 1 fillet crosswise on widest part of chard. Fold bottom of leaf over fillet, then continue to roll up (sides will be open). Enclose each wrapped fillet in foil. Arrange packets on rimmed baking sheet. Bake until fish is just opaque in center, 12 to 14 minutes. Transfer packets to plates, open foil, and serve.",77,3
Carrot Puree,https://images.eatthismuch.com/img/45166_Shamarie84_b92466b4-f10c-4245-9c44-63d432675d2c.png,115,8g,10g,"1 serving of carrot puree  contains 115 Calories. The macronutrient
  breakdown is 34% carbs, 59% fat, and 7% protein.  This is a good source of potassium (7% of your Daily Value) and vitamin a (94% of your Daily Value).",10 minutes,25 minutes,"Directions PREPARATION:  Halve carrots lengthwise and cut into 1/2-inch pieces.Simmer carrots, garlic, broth, and salt in a 1- to 2-quart heavy saucepan, covered, until carrots are very tender, 12 to 14 minutes. Pure mixture with cream and butter in a food processor until smooth.",2,4
Basil Cashew Chicken,https://images.eatthismuch.com/img/346376_danes_mb_b26192bc-0f1c-4108-93a8-e4f3c6d3f0e9.png,485,18g,35g,"1 serving of basil cashew chicken  contains 485 Calories. The macronutrient
  breakdown is 29% carbs, 34% fat, and 37% protein.  This is a good source of protein (81% of your Daily Value), potassium (19% of your Daily Value), and magnesium (29% of your Daily Value).",15 minutes,15 minutes,"Directions Peel and grate ginger, mince garlic, chop pepper, and slice mango.Prepare rice as per package directions; set aside.Add the chicken to a bowl and toss with the oyster sauce and soy sauce. Let the chicken marinate 10 minutes.Heat a large skillet or wok over medium. Add 1 tablespoon sesame oil. Add the garlic, ginger, and serrano chile, cook 30 seconds or until fragrant. Watch close, you don't want to burn the garlic. Increase the heat to medium high. Add another drizzle sesame oil and the chicken. Stir-fry over medium high heat until cooked through, about 5-7 minutes. Stir in the cashews and cook another minute. Remove from the heat and stir in Thai basil.Serve the chicken over steamed rice with fresh mango slices and extra basil.Enjoy!",45,5
Curried Apple and Leek Soup,https://images.eatthismuch.com/img/57121_WendyKearns_fe13507f-187e-4a9f-8507-f9e81688c5dc.jpg,170,3g,32g,"1 serving of curried apple and leek soup  contains 170 Calories. The macronutrient
  breakdown is 71% carbs, 17% fat, and 11% protein.  This is a good source of fiber (18% of your Daily Value), potassium (9% of your Daily Value), and vitamin k (30% of your Daily Value).",10 minutes,26 minutes,"Directions Peel, core, and chop apples. Chop leeks. Dice potatoes.In a medium saucepan over medium heat, melt butter. Stir in curry powder and cook for 1 minute. Add leeks, potato, and apples and cook for 5 minutes. Pour in broth and bring to a boil. Cover, reduce heat, and simmer for 20 minutes.Puree in a blender or food processor, or using an immersion blender. Season with salt and pepper and serve with a swirl of yogurt.",5,6
Mushroom Caviar,https://images.eatthismuch.com/img/57057_Studley8015_4d092311-3cb5-4fbe-a316-7193cfdf6873.png,593,51g,28g,"1 serving of mushroom caviar  contains 593 Calories. The macronutrient
  breakdown is 18% carbs, 74% fat, and 8% protein.  This is a good source of protein (21% of your Daily Value), fiber (24% of your Daily Value), and potassium (24% of your Daily Value).",10 minutes,10 minutes,"Directions Wipe the mushrooms clean and finely chop. Mince shallots and garlic. Coarsely chop parsley.Melt butter in a large skillet on high heat. Add the mushrooms and shallots. Saute for 5 minutes, stirring frequently.In a small skillet on high heat, toast the pine nuts until slightly golden, stirring frequently. Remove from heat and set aside in a small bowl.Sprinkle the cooking mushrooms with salt and pepper. After 5 minutes, add the garlic and white wine. Cook for an additional minute, then remove from heat. Combine with the toasted pine nuts in a bowl and set aside to cool.Once cooled, mix in the lemon juice, sour cream, and parsley. Season with salt, pepper, and cayenne pepper to taste. Chill before serving.Spoon onto a large butter lettuce leaf and serve with crackers. For a gluten-free option, use rice crackers.",12,7
Kale Edamame Dumplings,https://images.eatthismuch.com/img/340628_erin_m_39283695-84c5-451b-85fe-1e34695e702f.png,490,6g,90g,"1 serving of kale edamame dumplings  contains 490 Calories. The macronutrient
  breakdown is 73% carbs, 11% fat, and 16% protein.  This is a good source of protein (35% of your Daily Value), fiber (26% of your Daily Value), and potassium (15% of your Daily Value).",10 minutes,20 minutes,"Directions To make the filling: Lightly steam kale and edamame (separately) on the stovetop or microwave until tender. Next, blend all ingredients (except the soy sauce, rice vinegar, sesame seeds, and wrappers) together in a food processor until you get a chunky paste. Taste and adjust salt and pepper accordingly. Assembly: place about a tbsp of the filling on each dumpling skin, ensuring not to overfill. Moisten the edge of the skin halfway around with some water with your fingers. Fold over, creating a half-moon or triangle shape (depends on your wrappers). Press firmly and create small folds along the edge. Set aside.Steam the dumplings until the skin is somewhat transparent, about 3-5 minutes. If you don't have a steamer it's ok to fill the bottom of a pan with water and steam the dumplings in this, covering the pan with a lid. Garnish with sesame seeds. Serve with soy sauce and rice vinegar mixed together. Enjoy!",20,8
Peaches in Ginger Syrup,https://images.eatthismuch.com/img/45507_Shamarie84_324bc980-3d14-47ab-bead-8486f9a544fc.png,143,0.3g,32g,"1 serving of peaches in ginger syrup  contains 143 Calories. The macronutrient
  breakdown is 94% carbs, 2% fat, and 4% protein.  This has a relatively low calorie density, with 72 Calories per 100g.",20 minutes,40 minutes,"Directions Peel and coarsely grate ginger. Simmer wine, water, sugar, and ginger, stirring occasionally, until reduced to about 3/4 cup, about 15 minutes.While syrup is simmering, slice peaches and toss with lemon juice.Pour hot syrup through a fine sieve onto peaches, then stir.Let stand 20 minutes.",1,9
Papaya Salsa,https://images.eatthismuch.com/img/45307_rosierainbows_058cc3ad-df85-4261-8efc-632656d3a30c.png,133,1g,34g,"1 serving of papaya salsa  contains 133 Calories. The macronutrient
  breakdown is 91% carbs, 4% fat, and 5% protein.  This is a good source of fiber (17% of your Daily Value), potassium (12% of your Daily Value), and vitamin a (13% of your Daily Value).",20 minutes,20 minutes,Directions Chop scallion. Cut papaya and pineapple into small cubes.Stir together all ingredients.,2,10
